,algorithm,map_name,return_mean
0,random,confidentiality_medium,-112.10000000000001
0,random,confidentiality_medium,-65.7
0,random,confidentiality_medium,-37.9
0,random,confidentiality_medium,-129.6
0,random,confidentiality_medium,-91.8
0,random,confidentiality_medium,-91.1
0,random,confidentiality_medium,-110.5
0,random,confidentiality_medium,-60.1
0,random,confidentiality_medium,-71.5
0,random,confidentiality_medium,-50.8
0,random,confidentiality_medium,-62.49999999999999
0,random,confidentiality_medium,-73.1
0,random,confidentiality_medium,-51.900000000000006
0,random,confidentiality_medium,-41.699999999999996
0,random,confidentiality_medium,-63.400000000000006
0,random,confidentiality_medium,-54.7
0,random,confidentiality_medium,-42.8
0,random,confidentiality_medium,-84.1
0,random,confidentiality_medium,-41.9
0,random,confidentiality_medium,-23.7
0,random,confidentiality_medium,-83.6
0,random,confidentiality_medium,-42.0
0,random,confidentiality_medium,-52.70000000000001
0,random,confidentiality_medium,-54.3
0,random,confidentiality_medium,-86.3
0,random,confidentiality_medium,-91.6
0,random,confidentiality_medium,-41.59999999999999
0,random,confidentiality_medium,-72.9
0,random,confidentiality_medium,-51.8
0,random,confidentiality_medium,-79.49999999999999
0,random,confidentiality_medium,-71.2
0,random,confidentiality_medium,-52.199999999999996
0,random,confidentiality_medium,-81.39999999999999
0,random,confidentiality_medium,-57.599999999999994
0,random,confidentiality_medium,-74.5
0,random,confidentiality_medium,-91.30000000000001
0,random,confidentiality_medium,-52.400000000000006
0,random,confidentiality_medium,-72.3
0,random,confidentiality_medium,-69.5
0,random,confidentiality_medium,-58.400000000000006
0,random,confidentiality_medium,-76.1
0,random,confidentiality_medium,-41.8
0,random,confidentiality_medium,-66.19999999999999
0,random,confidentiality_medium,-35.699999999999996
0,random,confidentiality_medium,-82.4
0,random,confidentiality_medium,-97.6
0,random,confidentiality_medium,-55.2
0,random,confidentiality_medium,-74.2
0,random,confidentiality_medium,-102.89999999999999
0,random,confidentiality_medium,-50.2
0,random,confidentiality_medium,-19.300000000000004
0,random,confidentiality_medium,-82.9
0,random,confidentiality_medium,-64.9
0,random,confidentiality_medium,-94.0
0,random,confidentiality_medium,-81.6
0,random,confidentiality_medium,-130.1
0,random,confidentiality_medium,-60.2
0,random,confidentiality_medium,-52.5
0,random,confidentiality_medium,-83.49999999999999
0,random,confidentiality_medium,-68.1
0,random,confidentiality_medium,-54.800000000000004
0,random,confidentiality_medium,-38.6
0,random,confidentiality_medium,-64.00000000000001
0,random,confidentiality_medium,-41.2
0,random,confidentiality_medium,-74.2
0,random,confidentiality_medium,-81.7
0,random,confidentiality_medium,-52.6
0,random,confidentiality_medium,-72.3
0,random,confidentiality_medium,-69.60000000000001
0,random,confidentiality_medium,-93.7
0,random,confidentiality_medium,-54.699999999999996
0,random,confidentiality_medium,-49.400000000000006
0,random,confidentiality_medium,-65.8
0,random,confidentiality_medium,-41.2
0,random,confidentiality_medium,-19.699999999999996
0,random,confidentiality_medium,-96.5
0,random,confidentiality_medium,-22.700000000000003
0,random,confidentiality_medium,-71.2
0,random,confidentiality_medium,-72.60000000000001
0,random,confidentiality_medium,-55.400000000000006
0,random,confidentiality_medium,-89.1
0,random,confidentiality_medium,-51.7
0,random,confidentiality_medium,-94.3
0,random,confidentiality_medium,-82.1
0,random,confidentiality_medium,-19.700000000000003
0,random,confidentiality_medium,-95.1
0,random,confidentiality_medium,-62.3
0,random,confidentiality_medium,-109.1
0,random,confidentiality_medium,-38.4
0,random,confidentiality_medium,-47.9
0,random,confidentiality_medium,-51.50000000000001
0,random,confidentiality_medium,-77.2
0,random,confidentiality_medium,-140.0
0,random,confidentiality_medium,-131.89999999999998
0,random,confidentiality_medium,-61.900000000000006
0,random,confidentiality_medium,-103.8
0,random,confidentiality_medium,-135.9
0,random,confidentiality_medium,-26.200000000000003
0,random,confidentiality_medium,-130.79999999999998
0,random,confidentiality_medium,-105.00000000000001
