,algorithm,map_name,return_mean
0,random,confidentiality_medium,-59.8
0,random,confidentiality_medium,-89.49999999999999
0,random,confidentiality_medium,-40.3
0,random,confidentiality_medium,-78.3
0,random,confidentiality_medium,-108.2
0,random,confidentiality_medium,-70.2
0,random,confidentiality_medium,-58.2
0,random,confidentiality_medium,-68.8
0,random,confidentiality_medium,-108.0
0,random,confidentiality_medium,-28.299999999999997
0,random,confidentiality_medium,-59.400000000000006
0,random,confidentiality_medium,-59.5
0,random,confidentiality_medium,-58.7
0,random,confidentiality_medium,-78.89999999999999
0,random,confidentiality_medium,-59.400000000000006
0,random,confidentiality_medium,-48.400000000000006
0,random,confidentiality_medium,-97.9
0,random,confidentiality_medium,-79.19999999999999
0,random,confidentiality_medium,-50.099999999999994
0,random,confidentiality_medium,-116.80000000000003
0,random,confidentiality_medium,-87.7
0,random,confidentiality_medium,-135.09999999999997
0,random,confidentiality_medium,-87.4
0,random,confidentiality_medium,-59.7
0,random,confidentiality_medium,-40.1
0,random,confidentiality_medium,-88.69999999999999
0,random,confidentiality_medium,-17.7
0,random,confidentiality_medium,-58.5
0,random,confidentiality_medium,-40.099999999999994
0,random,confidentiality_medium,-49.2
0,random,confidentiality_medium,-59.5
0,random,confidentiality_medium,-39.9
0,random,confidentiality_medium,-58.60000000000001
0,random,confidentiality_medium,-39.6
0,random,confidentiality_medium,-40.0
0,random,confidentiality_medium,-59.400000000000006
0,random,confidentiality_medium,-89.19999999999999
0,random,confidentiality_medium,-69.1
0,random,confidentiality_medium,-48.900000000000006
0,random,confidentiality_medium,-28.0
0,random,confidentiality_medium,-79.1
0,random,confidentiality_medium,-79.39999999999999
0,random,confidentiality_medium,-145.39999999999998
0,random,confidentiality_medium,-38.8
0,random,confidentiality_medium,-40.2
0,random,confidentiality_medium,-126.90000000000003
0,random,confidentiality_medium,-40.2
0,random,confidentiality_medium,-39.5
0,random,confidentiality_medium,-79.0
0,random,confidentiality_medium,-29.3
0,random,confidentiality_medium,-40.2
0,random,confidentiality_medium,-106.10000000000002
0,random,confidentiality_medium,-59.2
0,random,confidentiality_medium,-58.5
0,random,confidentiality_medium,-28.7
0,random,confidentiality_medium,-39.0
0,random,confidentiality_medium,-78.89999999999999
0,random,confidentiality_medium,-68.5
0,random,confidentiality_medium,-79.39999999999999
0,random,confidentiality_medium,-68.3
0,random,confidentiality_medium,-68.9
0,random,confidentiality_medium,-39.3
0,random,confidentiality_medium,-59.60000000000001
0,random,confidentiality_medium,-48.1
0,random,confidentiality_medium,-38.3
0,random,confidentiality_medium,-39.8
0,random,confidentiality_medium,-50.3
0,random,confidentiality_medium,-68.4
0,random,confidentiality_medium,-18.9
0,random,confidentiality_medium,-17.5
0,random,confidentiality_medium,-60.0
0,random,confidentiality_medium,-38.9
0,random,confidentiality_medium,-79.19999999999999
0,random,confidentiality_medium,-48.900000000000006
0,random,confidentiality_medium,-59.60000000000001
0,random,confidentiality_medium,-49.099999999999994
0,random,confidentiality_medium,-57.900000000000006
0,random,confidentiality_medium,-29.3
0,random,confidentiality_medium,-29.2
0,random,confidentiality_medium,-79.5
0,random,confidentiality_medium,-127.00000000000003
0,random,confidentiality_medium,-97.9
0,random,confidentiality_medium,-39.3
0,random,confidentiality_medium,-59.8
0,random,confidentiality_medium,-39.3
0,random,confidentiality_medium,-59.5
0,random,confidentiality_medium,-96.9
0,random,confidentiality_medium,-40.099999999999994
0,random,confidentiality_medium,-116.70000000000003
0,random,confidentiality_medium,-8.399999999999999
0,random,confidentiality_medium,-68.4
0,random,confidentiality_medium,-19.0
0,random,confidentiality_medium,-40.099999999999994
0,random,confidentiality_medium,-39.0
0,random,confidentiality_medium,-50.0
0,random,confidentiality_medium,-29.4
0,random,confidentiality_medium,-29.299999999999997
0,random,confidentiality_medium,-59.7
0,random,confidentiality_medium,-49.3
0,random,confidentiality_medium,-98.0
