,name,return_mean,return_stdev
0,qmix_confidentiality_medium_no_obs,-63.250074404761904,23.4903712702832
1,qmix_confidentiality_medium_raw,-43.07255853174603,11.562172875422604
2,qmix_confidentiality_medium_table,-40.46176988585696,11.806215246893021
3,qmix_confidentiality_medium_table_no_obs,-39.513177274114774,11.580948305210576
4,qmix_confidentiality_medium_table_no_state,-30.39364666005291,8.72857147074188
5,qmix_hyperparam_batch_size=128_buffer_size=10000_lr=0.005_td_lambda=0.0,-39.72230158730159,9.689006240873109
6,qmix_hyperparam_batch_size=128_buffer_size=10000_lr=0.005_td_lambda=0.6,-37.71465909090909,9.396510367785012
7,qmix_hyperparam_batch_size=128_buffer_size=10000_lr=0.01_td_lambda=0.0,-38.68608044733045,9.549071584277632
8,qmix_hyperparam_batch_size=128_buffer_size=10000_lr=0.01_td_lambda=0.6,-37.10169913419914,8.4177456300967
9,qmix_hyperparam_batch_size=128_buffer_size=5000_lr=0.005_td_lambda=0.0,-38.52377164502165,9.306021302052311
10,qmix_hyperparam_batch_size=128_buffer_size=5000_lr=0.005_td_lambda=0.6,-36.345501443001446,8.463291983671699
11,qmix_hyperparam_batch_size=128_buffer_size=5000_lr=0.01_td_lambda=0.0,-37.53314393939394,8.75289112774807
12,qmix_hyperparam_batch_size=128_buffer_size=5000_lr=0.01_td_lambda=0.6,-36.53630411255411,8.046447819329797
13,qmix_hyperparam_batch_size=256_buffer_size=10000_lr=0.005_td_lambda=0.0,-40.18808441558442,9.977057407460068
14,qmix_hyperparam_batch_size=256_buffer_size=10000_lr=0.005_td_lambda=0.6,-37.96149891774892,8.612840564918717
15,qmix_hyperparam_batch_size=256_buffer_size=10000_lr=0.01_td_lambda=0.0,-38.28447330447331,8.900523803709094
16,qmix_hyperparam_batch_size=256_buffer_size=10000_lr=0.01_td_lambda=0.6,-35.223551587301586,8.313679639714913
17,qmix_hyperparam_batch_size=256_buffer_size=5000_lr=0.005_td_lambda=0.0,-38.89127344877345,9.939650908665486
18,qmix_hyperparam_batch_size=256_buffer_size=5000_lr=0.005_td_lambda=0.6,-35.00252525252525,9.953849779915595
19,qmix_hyperparam_batch_size=256_buffer_size=5000_lr=0.01_td_lambda=0.0,-37.9242803030303,8.54114461393591
20,qmix_hyperparam_batch_size=256_buffer_size=5000_lr=0.01_td_lambda=0.6,-33.28124639249639,10.04430958328216
